Leaked composite object at 0x55ff27578ef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x55ff27579ee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x55ff27579f20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x55ff27579f60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x55ff27578f20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x55ff27578f50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x55ff27578f80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x55ff27578fb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x55ff27578fe0 (tests/leak_test.c:12, sz=4, NORMAL)

