Leaked composite object at 0x156def0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x156eee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x156ef20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x156ef60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x156df20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x156df50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x156df80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x156dfb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x156dfe0 (tests/leak_test.c:12, sz=4, NORMAL)

