Leaked composite object at 0x564be92bdef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x564be92beee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x564be92bef20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x564be92bef60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x564be92bdf20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x564be92bdf50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x564be92bdf80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x564be92bdfb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x564be92bdfe0 (tests/leak_test.c:12, sz=4, NORMAL)

