Leaked composite object at 0x55b7c4b18ef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x55b7c4b19ee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x55b7c4b19f20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x55b7c4b19f60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x55b7c4b18f20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x55b7c4b18f50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x55b7c4b18f80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x55b7c4b18fb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x55b7c4b18fe0 (tests/leak_test.c:12, sz=4, NORMAL)

